iter	Passed	Remaining
627	1577	934
628	1580	932
629	1582	929
630	1584	926
631	1587	924
632	1589	921
633	1592	919
634	1595	917
635	1598	914
636	1600	912
637	1602	909
638	1605	906
639	1607	904
640	1610	901
641	1612	899
642	1614	896
643	1617	893
644	1619	891
645	1622	888
646	1624	886
647	1627	883
648	1630	881
649	1634	880
650	1637	877
651	1639	875
652	1643	873
653	1645	870
654	1647	868
655	1650	865
656	1652	862
657	1655	860
658	1658	858
659	1660	855
660	1662	852
661	1665	850
662	1667	847
663	1670	845
664	1672	842
665	1675	840
666	1677	837
667	1679	834
668	1682	832
669	1684	829
670	1686	827
671	1692	826
672	1697	824
673	1704	824
674	1712	824
675	1718	823
676	1723	822
677	1729	821
678	1735	820
679	1739	818
680	1744	817
681	1748	815
682	1752	813
683	1756	811
684	1761	810
685	1766	808
686	1771	806
687	1776	805
688	1781	804
689	1787	803
690	1793	802
691	1798	800
692	1807	800
693	1814	800
694	1820	798
695	1827	798
696	1833	797
697	1838	795
698	1844	794
699	1849	792
700	1853	790
701	1858	788
702	1862	786
703	1867	785
704	1874	784
705	1879	782
706	1884	781
707	1891	780
708	1897	778
709	1901	776
710	1905	774
711	1908	771
712	1910	769
713	1913	766
714	1915	763
715	1919	761
716	1921	758
717	1924	755
718	1926	752
719	1928	750
720	1931	747
721	1934	744
722	1936	742
723	1939	739
724	1941	736
725	1943	733
726	1946	730
727	1948	728
728	1950	725
729	1953	722
730	1955	719
731	1958	716
732	1961	714
733	1963	711
734	1965	708
735	1967	705
736	1970	703
737	1972	700
738	1974	697
739	1977	694
740	1979	691
741	1981	689
742	1984	686
743	1987	683
744	1990	681
745	1992	678
746	1994	675
747	1997	672
748	1999	670
749	2002	667
750	2005	664
751	2007	662
752	2009	659
753	2012	656
754	2014	653
755	2016	650
756	2019	648
757	2021	645
758	2023	642
759	2026	639
760	2028	637
761	2030	634
762	2033	631
763	2035	628
764	2038	626
765	2041	623
766	2043	620
767	2045	618
768	2048	615
769	2050	612
770	2052	609
771	2055	607
772	2057	604
773	2060	601
774	2062	598
775	2064	596
776	2067	593
777	2069	590
778	2072	588
779	2075	585
780	2077	582
781	2080	579
782	2082	577
783	2085	574
784	2087	571
785	2089	568
786	2092	566
787	2095	563
788	2097	560
789	2099	558
790	2102	555
791	2104	552
792	2107	550
793	2109	547
794	2112	544
795	2115	542
796	2117	539
797	2119	536
798	2121	533
799	2124	531
800	2126	528
801	2129	525
802	2131	522
803	2133	520
804	2136	517
805	2138	514
806	2141	512
807	2143	509
808	2145	506
809	2148	503
810	2150	501
811	2152	498
812	2155	495
813	2157	492
814	2159	490
815	2162	487
816	2164	484
817	2166	482
818	2169	479
819	2171	476
820	2173	473
821	2176	471
822	2178	468
823	2181	465
824	2184	463
825	2186	460
826	2189	457
827	2191	455
828	2193	452
829	2195	449
830	2198	447
831	2200	444
832	2203	441
833	2205	439
834	2208	436
835	2210	433
836	2212	430
837	2215	428
838	2217	425
839	2220	422
840	2222	420
841	2225	417
842	2227	414
843	2229	412
844	2232	409
845	2234	406
846	2236	404
847	2239	401
848	2241	398
849	2243	395
850	2246	393
851	2248	390
852	2250	387
853	2253	385
854	2255	382
855	2257	379
856	2260	377
857	2262	374
858	2264	371
859	2267	369
860	2269	366
861	2272	363
862	2274	361
863	2277	358
864	2279	355
865	2284	353
866	2288	351
867	2291	348
868	2295	345
869	2297	343
870	2300	340
871	2303	338
872	2306	335
873	2310	333
874	2315	330
875	2318	328
876	2320	325
877	2322	322
878	2325	320
879	2327	317
880	2330	314
881	2332	312
882	2334	309
883	2337	306
884	2339	304
885	2341	301
886	2344	298
887	2346	295
888	2349	293
889	2351	290
890	2353	287
891	2356	285
892	2358	282
893	2360	279
894	2364	277
895	2366	274
896	2368	271
897	2370	269
898	2373	266
899	2375	263
900	2377	261
901	2380	258
902	2382	255
903	2384	253
904	2386	250
905	2389	247
906	2391	245
907	2393	242
908	2396	239
909	2398	237
910	2400	234
911	2402	231
912	2405	229
913	2407	226
914	2409	223
915	2412	221
916	2414	218
917	2416	215
918	2419	213
919	2421	210
920	2423	207
921	2426	205
922	2428	202
923	2430	199
924	2433	197
925	2435	194
926	2437	191
927	2440	189
928	2442	186
929	2444	184
930	2447	181
931	2449	178
932	2452	176
933	2454	173
934	2457	170
935	2459	168
936	2461	165
937	2464	162
938	2466	160
939	2468	157
940	2471	154
941	2473	152
942	2475	149
943	2478	147
944	2480	144
945	2483	141
946	2485	139
947	2488	136
948	2490	133
949	2492	131
950	2494	128
951	2497	125
952	2499	123
953	2501	120
954	2503	117
955	2506	115
956	2508	112
957	2510	110
958	2513	107
959	2515	104
960	2518	102
961	2520	99
962	2522	96
963	2525	94
964	2527	91
965	2529	89
966	2532	86
967	2534	83
968	2537	81
969	2540	78
970	2543	75
971	2545	73
972	2547	70
973	2550	68
974	2552	65
975	2555	62
976	2557	60
977	2560	57
978	2562	54
979	2564	52
980	2566	49
981	2569	47
982	2571	44
983	2573	41
984	2576	39
985	2578	36
986	2580	33
987	2583	31
988	2587	28
989	2589	26
990	2591	23
991	2594	20
992	2596	18
993	2598	15
994	2601	13
995	2603	10
996	2605	7
997	2608	5
998	2610	2
999	2613	0
